study_key,title,year,doi,pmid,url,models_tested,datasets_used,patient_level,cross_study,reproducibility_tested,installation_tested,top_k_metrics,hla_bias,data_leakage,software_usability,open_benchmark,key_difference,evidence_note,accessed_at
deephlapan2019,DeepHLApan: A Deep Learning Approach for Neoantigen Prediction Considering Both HLA-Peptide Binding and Immunogenicity,2019,10.3389/fimmu.2019.02559,31736974,https://doi.org/10.3389/fimmu.2019.02559,"DeepHLApan and binding baselines","IEDB benchmark, MS data, pre-existing T-cell response mutations",partial,no,no,no,partial,unknown,partial,no,partial,Model paper rather than a contemporaneous reproducibility audit,"Primary article provides code and comparisons but uses model-development evaluation rather than a versioned rerun of many aging tools.",2026-08-20
mhcmodelbenchmark2020,Benchmarking predictions of MHC class I restricted T cell epitopes in a comprehensively studied model system,2020,10.1371/journal.pcbi.1007757,32492068,https://doi.org/10.1371/journal.pcbi.1007757,17 executable method variants,mouse model-system epitope data,no,no,partial,yes,no,partial,partial,partial,yes,Strong executable-method benchmark but not human patient-level neoantigen prioritization,"Article identified 44 public executable algorithms and ran 15 methods/17 variants, directly motivating a software-aging follow-up.",2026-08-20
tesla2020,Key Parameters of Tumor Epitope Immunogenicity Revealed Through a Consortium Approach Improve Neoantigen Prediction,2020,10.1016/j.cell.2020.09.015,33038301,https://doi.org/10.1016/j.cell.2020.09.015,25 team pipelines,TESLA six-patient 608-peptide validation set,yes,no,partial,no,yes,partial,no,no,partial,Prospective consortium comparison but submissions were heterogeneous and largely not rerun from public artifacts,"Primary article reports 6 subjects, 25 evaluable teams, 608 tested peptides, 37 immunogenic peptides, AUPRC, fraction-ranked and Top-20 immunogenic fraction.",2026-08-20
mhcflurry2020,MHCflurry 2.0: Improved Pan-Allele Prediction of MHC Class I-Presented Peptides by Incorporating Antigen Processing,2020,10.1016/j.cels.2020.06.010,32711842,https://doi.org/10.1016/j.cels.2020.06.010,"MHCflurry variants and presentation baselines","IEDB binding, mass-spectrometry ligands and held-out datasets",no,partial,partial,no,no,partial,partial,partial,yes,Presentation-model paper rather than cross-tool patient ranking and installation audit,"Paper and official open-source package establish a reproducible presentation baseline suitable for NeoRepro.",2026-08-20
deepimmuno2021,DeepImmuno: deep learning-empowered prediction and generation of immunogenic peptides for T-cell immunity,2021,10.1093/bib/bbab160,34009266,https://doi.org/10.1093/bib/bbab160,"DeepImmuno, IEDB score, DeepHLApan","IEDB training, 637 tested tumor neoantigens, infectious-disease sets",partial,partial,partial,no,yes,unknown,partial,partial,yes,Includes top-20 evaluation but not a broad aging-software audit,"Primary article reports top-20/top-50 comparisons on 637 experimentally tested tumor neoantigens and public code/data.",2026-08-20
bigmhc2023,Deep neural networks predict class I major histocompatibility complex epitope presentation and transfer learn neoepitope immunogenicity,2023,10.1038/s42256-023-00694-6,37829001,https://doi.org/10.1038/s42256-023-00694-6,"BigMHC and seven immunogenicity methods","presentation corpora, neoepitope and infectious-disease immunogenicity benchmarks",partial,yes,partial,no,partial,partial,partial,partial,yes,Modern open model comparison but not patient-bootstrap metric concordance or installation decay,"Primary article evaluates BigMHC-IM and seven methods on two independent datasets and releases code, data and weights.",2026-08-20
itsndb2023,Unraveling tumor specific neoantigen immunogenicity prediction: a comprehensive analysis,2023,10.3389/fimmu.2023.1094236,37564650,https://doi.org/10.3389/fimmu.2023.1094236,"7 software programs, 19 metrics",ITSNdb 199 peptides plus 120-candidate validation scenario and ICB cohorts,partial,partial,partial,no,yes,partial,partial,partial,yes,Closest predictor comparison but patient scenario is partly simulated and installability/version decay are not principal outcomes,"Primary article curates 129 positive and 70 negative presented MHC-I neoantigens and evaluates top-10/top-20 prioritization.",2026-08-20
neohunter2024,NeoHunter: Flexible software for systematically detecting neoantigens from sequencing data,2024,10.1002/qub2.28,41676021,https://doi.org/10.1002/qub2.28,"NeoHunter and 25 TESLA team methods",TESLA patient data,yes,no,partial,no,yes,partial,no,partial,partial,Patient-wise Top-20 already exists; NeoRepro must focus on independently rerunnable public implementations and common-support fairness,"Primary article reports TTIF, fraction-ranked, AUPRC and detection rate by patient against TESLA submissions.",2026-08-20
pvacview2024,pVACview: an interactive visualization tool for efficient neoantigen prioritization and selection,2024,10.1186/s13073-024-01384-7,39538339,https://doi.org/10.1186/s13073-024-01384-7,"pVACtools, NeoFox, vaxrank, antigen.garnish, NeoPredPipe",outputs from five pipelines,partial,no,partial,partial,no,no,no,yes,partial,Focuses cross-pipeline output harmonization and human review rather than standardized predictive performance,"Primary article compares variant-, transcript- and peptide-level output fields across five pipelines and motivates a canonical adapter schema.",2026-08-20
neoguider2025,NeoGuider: neoepitope prediction using advanced feature engineering,2025,10.1186/s13073-025-01592-9,41437280,https://doi.org/10.1186/s13073-025-01592-9,NeoGuider and existing methods,"7 cohorts, 113 patients, 635 immunogenic candidates",yes,yes,partial,no,yes,partial,partial,partial,partial,Recent patient/cohort benchmark narrows performance novelty but does not answer multi-tool installation aging,"Primary article reports multi-cohort patient evaluation and public code; overlap and split construction require detailed follow-up.",2026-08-20
tscape2025,T-SCAPE: T cell immunogenicity scoring via cross-domain aided predictive engine,2025,10.1038/s41467-025-65029-8,41268248,https://doi.org/10.1038/s41467-025-65029-8,"T-SCAPE and multiple immunogenicity models","MHC-I neoantigen and infectious-disease benchmarks",partial,yes,partial,no,partial,partial,partial,no,partial,Recent model benchmark but not a public-artifact reproducibility census,"Primary article limits benchmark lengths to MHC-I 8-11mers and reports cross-domain model comparison.",2026-08-20
ai_review2025,Leveraging Artificial Intelligence for Neoantigen Prediction,2025,10.1158/0008-5472.can-24-2553,40101113,https://doi.org/10.1158/0008-5472.CAN-24-2553,multiple AI presentation predictors,review-curated benchmark data,no,partial,no,no,no,partial,partial,partial,no,Current review and benchmark landscape but no executable reproducibility resource,"Publisher/PubMed record states that the review includes benchmarking of antigen-presentation predictors for immunogenicity scoring.",2026-08-20
shortcut2026,Cross-task interpretability through unified modeling reveals a universal shortcut bias in neoantigen prediction,2026,10.1016/j.xgen.2026.101214,41985452,https://doi.org/10.1016/j.xgen.2026.101214,"ImmUni variants and 15 previously evaluated models","BigMHC neoepitope and IEDB infectious-disease benchmarks",partial,yes,partial,no,partial,yes,yes,no,partial,Directly resolves novelty of discovering HLA-only shortcut bias; NeoRepro should treat it as an audit dimension,"Primary article reports an HLA-only model outperforming peptide-HLA models on biased immunogenicity benchmarks.",2026-08-20
transnrank2026,TransNRank: Towards Accurate Neoantigen Ranking with Transformer,2026,10.48550/arXiv.2608.01924,unknown,https://arxiv.org/abs/2608.01924,"TransNRank, linear and tree baselines","NCI, TESLA, HiTIDE",yes,yes,unknown,no,yes,partial,unknown,unknown,unknown,Directly claims improved Top-20 recall; code availability and split leakage are not yet verified,"ArXiv abstract reports Top-20 recall of 53.1% versus a 46.9% prior upper bound; preprint posted 2026-08-03.",2026-08-20
neat2026,Automating neoantigen selection for personalized cancer vaccine design,2026,10.64898/2026.06.24.26356293,42428096,https://doi.org/10.64898/2026.06.24.26356293,NEAT classifier,"1943 peptides from 33 patients across 3 clinical trials",yes,yes,yes,partial,partial,partial,partial,yes,partial,Predicts expert accept/reject/review decisions rather than experimentally proven immunogenicity,"Preprint reports retrospective and prospective patient sets and integration into pVACtools v7; it explicitly states that NEAT does not predict functional T-cell response.",2026-08-20
pvactools_v6_2026,pVACtools v6: A comprehensive suite for neoantigen prediction visualization and therapy design,2026,10.48550/arXiv.2606.26659,unknown,https://arxiv.org/abs/2606.26659,multiple component algorithms,tool-suite examples,partial,no,yes,yes,partial,partial,partial,yes,yes,Shows current maintained-tool baseline but does not audit historical predictors on one benchmark,"ArXiv record documents new presentation, immunogenicity, anchor, similarity and selection features across the suite.",2026-08-20
mhcmatch2026,mhcmatch public benchmark,2026,unknown,unknown,https://github.com/antigenomics/mhcmatch,"mhcmatch, NetMHCpan",TESLA-608 and peptide-HLA binding datasets,partial,partial,yes,yes,yes,yes,partial,yes,yes,Highly relevant live repository benchmark but not yet a verified peer-reviewed study,"Official repository claims common-task comparisons, bootstrap intervals and TESLA-608 evaluation; treat as exploratory until paper and independent provenance are verified.",2026-08-20

