tool_name,paper_title,year,doi,pmid,paper_url,repo_url,official_url,license,task_type,input_type,output_type,hla_support,mhc_class,requires_gpu,requires_external_service,language,python_version,last_repo_update,training_dataset,training_dataset_public,pretrained_model_public,installation_status,candidate_for_benchmark,evidence_note,accessed_at,notes
pVACtools,pVACtools: A Computational Toolkit to Identify and Visualize Cancer Neoantigens,2020,10.1158/2326-6066.cir-19-0401,31907209,https://doi.org/10.1158/2326-6066.CIR-19-0401,https://github.com/griffithlab/pVACtools,https://pvactools.readthedocs.io/,BSD-3-Clause-Clear,end-to-end toolkit,"VCF, FASTA, fusion and peptide inputs",ranked candidates,broad,I and II,no,optional prediction services,Python,unknown,2026-08-19,multiple component-specific datasets,partial,yes,not_attempted,no,"Official repository active; pipeline orchestrates multiple component predictors, so it is not a single comparable scoring model.",2026-08-20,"Landscape and reproducibility-profile candidate; pVACtools v6/v7 updates require version-specific treatment."
MHCflurry 2.0,MHCflurry 2.0: Improved Pan-Allele Prediction of MHC Class I-Presented Peptides by Incorporating Antigen Processing,2020,10.1016/j.cels.2020.06.010,32711842,https://doi.org/10.1016/j.cels.2020.06.010,https://github.com/openvax/mhcflurry,https://openvax.github.io/mhcflurry/,Apache-2.0,binding and presentation,"peptide, HLA-I",affinity and presentation scores,broad,I,optional,no,Python,unknown,2026-07-24,"IEDB binding and mass-spectrometry ligands",partial,yes,not_attempted,yes,"Official repository identifies MHC-I affinity prediction; v2 paper adds processing/presentation.",2026-08-20,"Pilot baseline; score is presentation/binding rather than T-cell immunogenicity."
BigMHC,Deep neural networks predict class I major histocompatibility complex epitope presentation and transfer learn neoepitope immunogenicity,2023,10.1038/s42256-023-00694-6,37829001,https://doi.org/10.1038/s42256-023-00694-6,https://github.com/KarchinLab/bigmhc,https://github.com/KarchinLab/bigmhc,unclear,presentation and immunogenicity,"CSV peptide, HLA-I",continuous scores,broad,I,optional,no,Python,3.9.13,2025-12-17,"large presentation corpus plus limited immunogenicity transfer data",yes,yes,not_attempted,yes,"Official repository includes models and data, documents CPU inference, and is approximately 5 GB.",2026-08-20,"Pilot candidate; invalid HLA names are fuzzy-matched and therefore require pre-validation."
PRIME 2.0,Improved predictions of antigen presentation and TCR recognition with MixMHCpred2.2 and PRIME2.0 reveal potent SARS-CoV-2 CD8+ T-cell epitopes,2023,10.1016/j.cels.2022.12.002,36603583,https://doi.org/10.1016/j.cels.2022.12.002,https://github.com/GfellerLab/PRIME,https://prime.gfellerlab.org/,academic non-commercial terms require review,immunogenicity,"peptide, HLA-I",score and rank,supported allele set,I,no,no,C++,not_applicable,2025-09-24,"immunogenic peptide and presentation data",partial,yes,not_attempted,yes,"Official repository and Zenodo release exist; license is not expressed as an SPDX license by GitHub.",2026-08-20,"Pilot candidate subject to exact license and Apple Silicon compatibility review."
MixMHCpred,Improved predictions of antigen presentation and TCR recognition with MixMHCpred2.2 and PRIME2.0 reveal potent SARS-CoV-2 CD8+ T-cell epitopes,2023,10.1016/j.cels.2022.12.002,36603583,https://doi.org/10.1016/j.cels.2022.12.002,https://github.com/GfellerLab/MixMHCpred,https://mixmhcpred.gfellerlab.org/,academic non-commercial terms require review,HLA-I ligand presentation,"peptide, HLA-I",score and percentile rank,supported allele set,I,no,no,"Python/C++",not_applicable,2026-03-19,immunopeptidomics ligands,partial,yes,not_attempted,pending,"Official repository is active and describes the tool as an HLA-I ligand predictor.",2026-08-20,"Possible presentation baseline; license must be documented before redistribution."
DeepImmuno-CNN,DeepImmuno: deep learning-empowered prediction and generation of immunogenic peptides for T-cell immunity,2021,10.1093/bib/bbab160,34009266,https://doi.org/10.1093/bib/bbab160,https://github.com/frankligy/DeepImmuno,https://deepimmuno.research.cchmc.org/,MIT,immunogenicity,"9-10mer peptide, HLA-I",continuous score,limited,I,unknown,no,"Python/Jupyter",unknown,2023-04-01,IEDB immunogenicity,yes,yes,not_attempted,yes,"Official repository documents 9-10mer support, IEDB training data, and a TESLA evaluation.",2026-08-20,"Reproduction candidate; limited HLA coverage and shortcut-bias risk must be audited."
DeepHLApan 1.1.1,DeepHLApan: A Deep Learning Approach for Neoantigen Prediction Considering Both HLA-Peptide Binding and Immunogenicity,2019,10.3389/fimmu.2019.02559,31736974,https://doi.org/10.3389/fimmu.2019.02559,https://github.com/jiujiezz/deephlapan,http://biopharm.zju.edu.cn/deephlapan,GPL-2.0,binding and immunogenicity,"CSV peptide, HLA",probability and rank,broad,I,yes,no,"Python/Perl",legacy,2023-03-25,"IEDB binding plus curated immunogenicity",yes,yes,not_attempted,yes,"Official repository recommends an old Docker image and otherwise lists Linux, CUDA 9, and cuDNN 7.",2026-08-20,"High-value dependency-rot reproduction candidate."
MHCnuggets,High-Throughput Prediction of MHC Class I and II Neoantigens with MHCnuggets,2020,10.1158/2326-6066.cir-19-0464,31871119,https://doi.org/10.1158/2326-6066.CIR-19-0464,https://github.com/KarchinLab/mhcnuggets,https://github.com/KarchinLab/mhcnuggets,unclear,binding,"peptide, HLA",binding score,broad,I and II,optional,no,Python,unknown,2025-07-23,IEDB binding data,partial,yes,not_attempted,pending,"Official repository describes class I and II binding prediction; GitHub API does not identify an SPDX license.",2026-08-20,"Potential binding baseline after license and environment review."
NeoPredPipe,NeoPredPipe: high-throughput neoantigen prediction and recognition potential pipeline,2019,10.1186/s12859-019-2876-4,31117948,https://doi.org/10.1186/s12859-019-2876-4,https://github.com/MathOnco/NeoPredPipe,https://github.com/MathOnco/NeoPredPipe,LGPL-3.0,end-to-end pipeline,"VCF, HLA",ranked neoantigens,broad,I and II,no,yes,Python,legacy,2024-09-02,not_applicable,not_applicable,no,not_attempted,no,"Official repository states it depends on ANNOVAR and NetMHCpan.",2026-08-20,"Include in reproducibility landscape; not directly comparable on a peptide-only score track."
Vaxrank,Vaxrank: A computational tool for designing personalized cancer vaccines,2017,10.1101/142919,unknown,https://doi.org/10.1101/142919,https://github.com/openvax/vaxrank,https://github.com/openvax/vaxrank,Apache-2.0,patient vaccine ranking,"VCF/BAM or precomputed neoepitope report",ranked vaccine constructs,broad,I,no,optional predictors,Python,unknown,2026-08-19,rule-based integration,not_applicable,not_applicable,not_attempted,no,"Official repository describes ranking of long vaccine peptides and supports multiple underlying MHC predictors.",2026-08-20,"Reproducibility-profile candidate; output unit differs from peptide-HLA scoring."
