candidate_id,title,year,source_url,source_type,individual_short_peptide_assay,patient_id,hla,experimental_negative,study_cohort_recoverable,redistribution,training_set_risk,eligibility,decision,evidence_note,accessed_at
improve_2024,IMPROVE feature model broad-scale validation of T-cell recognition,2024,https://doi.org/10.3389/fimmu.2024.1360281,paper+repository,yes,yes,yes,yes,yes,public repository terms require audit,unknown,eligible,existing_primary,"17,520 patient-matched screened records; already frozen as principal benchmark; exact PRIME2 overlap audited separately.",2026-08-20
zhao_2026,Profiling immunogenic neoantigen peptides elicited by personalized neoantigen vaccine,2026,https://pmc.ncbi.nlm.nih.gov/articles/PMC13286890/,paper+Europe PMC supplement,yes,yes,yes,yes,yes,CC BY 4.0,partial,eligible,existing_external,"2,317 administered 8-11mer peptides from 352 patients; individual IFN-gamma ELISPOT; 313 source positives under ratio >=2.0; already frozen and run.",2026-08-20
nci_mmp_2021,NCI Surgery Branch mutated minimal peptide test set,2021,https://ndownloader.figshare.com/files/26040944,Figshare archive,unknown,partial,yes,no,yes,CC BY 4.0,unknown,failed,failed_eligibility,"2.36-GB file enumerates short candidates derived from parent screens; row-level short-peptide experimental testing is not established, so unknown rows cannot be negatives.",2026-08-20
rcc_pcv_2025,A neoantigen vaccine generates antitumour immunity in renal cell carcinoma,2025,https://doi.org/10.1038/s41586-024-08507-5,Nature supplement,yes,yes,yes,partial,yes,partial,CC BY-NC-ND 4.0,eligible,eligible_external,"Checksum-pinned Supplementary Table 2 sheet 2 has 130 source rows from 9 patients; 129 retained rows have canonical short epitope, predicted HLA and three peptide-stimulation plus three no-stimulation replicates. One N/A short-epitope/HLA row is excluded. Positives are defined by source p-value threshold; endpoint is post-vaccine ELISpot and therefore endpoint-distinct from untreated natural presentation.",2026-08-20
evx01_2024,Dose escalation study of a personalized peptide-based neoantigen vaccine,2024,https://jitc.bmj.com/content/12/5/e008817,Nature/PMC supplement,yes,yes,partial,partial,yes,partial,CC BY-NC,failed,failed_eligibility,"The paper reports 91 individually restimulated long vaccine peptides and patient IDs, but the public evidence does not expose a complete row-level short-peptide-HLA table with experimental negatives; HLA/minimal epitopes are prediction-derived and responses use irrelevant-peptide background rather than a verified pMHC negative table.",2026-08-20
gbm_neovax_2025,Integrating Multisector Molecular Characterization into Personalized Peptide Vaccine Design for GBM,2025,https://aacr.figshare.com/articles/dataset/Supplementary_Table_S5_from_Integrating_Multisector_Molecular_Characterization_into_Personalized_Peptide_Vaccine_Design_for_Patients_with_Newly_Diagnosed_Glioblastoma/29071987,Figshare supplement,partial,yes,unknown,partial,yes,CC BY 4.0,unknown,failed,failed_eligibility,"Figshare item is TCR-sequence data; article says IFN-gamma ELISPOT for patients 1-3, but the located artifact does not establish a complete row-level pMHC table with HLA and experimental negatives.",2026-08-20
melanoma_personal_2021,Personal neoantigen vaccines induce persistent memory T-cell responses,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8273876/,paper+supplement,partial,yes,partial,no,yes,restricted/MTA for some data,unknown,failed,failed_eligibility,"Supplementary data emphasize vaccine-positive responses, pools and class-II work; paper states patient-related data may require MTA and does not establish a complete individually tested class-I negative table.",2026-08-20
nepdb_2021,NEPdb experimentally validated neoantigens and predicted neoepitopes,2021,https://doi.org/10.3389/fimmu.2021.644637,database,partial,unknown,yes,partial,partial,public site terms unclear,high,failed,failed_eligibility,"Curated records include effective/ineffective entries and HLA, but patient identity, assay denominator and source-cohort reconstruction are not guaranteed at record level; database/model-training overlap risk is high.",2026-08-20
tesla_2020,TESLA consortium validation set,2020,https://doi.org/10.1016/j.cell.2020.09.015,paper+supplement,yes,yes,yes,yes,yes,source-specific terms,known,failed,failed_leakage_gate,"Experimentally tested patient-matched records are real, but all 520 retained pilot rows exactly overlap PRIME2 training and BigMHC immunogenicity construction; retained only as leakage-positive control.",2026-08-20
itsndb_2023,Unraveling tumor-specific neoantigen immunogenicity prediction,2023,https://doi.org/10.3389/fimmu.2023.1094236,paper+database,partial,partial,yes,partial,partial,unknown,high,failed,failed_eligibility,"Includes curated presented neoantigens and simulated prioritization scenarios, but the full patient-linked experimental-negative contract needed here is not established from the public article/database description.",2026-08-20
